Final results using Attention-Weighted FedXgbBagging:
Total rounds: 20
Number of participating clients: 8
XGBoost params: {'objective': 'binary:logistic', 'eval_metric': 'logloss', 'seed': 62529, 'n_jobs': -1, 'max_depth': 3, 'learning_rate': 0.017462960628932028, 'n_estimators': 850, 'min_child_weight': 2, 'gamma': 0.6008466563824473, 'subsample': 0.8874331341725578, 'colsample_bytree': 0.7409548092577293, 'max_delta_step': 2}
Optimal Threshold: 0.5200
Accuracy: 0.9368557659
Detection Rate: 0.7915783021
False Positive Rate: 0.0088726174

--- Per-Round Attention Weights ---
Round 1: α = [0.2466635469227821, 0.3755570679285709, 0.37777938514864695]
  Client 0: DR=0.7965, FPR=0.0109, Score=0.7878
  Client 1: DR=0.7720, FPR=0.0090, Score=0.7651
  Client 2: DR=0.7724, FPR=0.0090, Score=0.7654
Round 12: α = [0.3309807642261153, 0.330934914245215, 0.33808432152866974]
  Client 0: DR=0.7738, FPR=0.0090, Score=0.7669
  Client 1: DR=0.7737, FPR=0.0090, Score=0.7667
  Client 2: DR=0.7968, FPR=0.0109, Score=0.7881
Round 13: α = [0.3316188354196835, 0.3377519959391462, 0.3306291686411702]
  Client 0: DR=0.7738, FPR=0.0090, Score=0.7669
  Client 1: DR=0.7923, FPR=0.0090, Score=0.7852
  Client 2: DR=0.7708, FPR=0.0090, Score=0.7639
Round 14: α = [0.3378777891902334, 0.33070412531148247, 0.331418085498284]
  Client 0: DR=0.7970, FPR=0.0109, Score=0.7883
  Client 1: DR=0.7738, FPR=0.0090, Score=0.7669
  Client 2: DR=0.7775, FPR=0.0109, Score=0.7690
Round 15: α = [0.33582168415210323, 0.32833685378556327, 0.3358414620623335]
  Client 0: DR=0.7970, FPR=0.0109, Score=0.7883
  Client 1: DR=0.7728, FPR=0.0090, Score=0.7658
  Client 2: DR=0.7971, FPR=0.0109, Score=0.7884
Round 16: α = [0.32867471032185225, 0.33565276085825, 0.3356725288198978]
  Client 0: DR=0.7743, FPR=0.0090, Score=0.7673
  Client 1: DR=0.7970, FPR=0.0109, Score=0.7883
  Client 2: DR=0.7971, FPR=0.0109, Score=0.7884
Round 17: α = [0.33803651741512897, 0.3310284437194664, 0.3309350388654046]
  Client 0: DR=0.7970, FPR=0.0109, Score=0.7883
  Client 1: DR=0.7744, FPR=0.0090, Score=0.7674
  Client 2: DR=0.7741, FPR=0.0090, Score=0.7671
Round 18: α = [0.3356271109759433, 0.3287251521597711, 0.3356477368642857]
  Client 0: DR=0.7983, FPR=0.0109, Score=0.7896
  Client 1: DR=0.7773, FPR=0.0109, Score=0.7688
  Client 2: DR=0.7984, FPR=0.0109, Score=0.7896
Round 19: α = [0.33345421813063253, 0.33307192525824575, 0.3334738566111218]
  Client 0: DR=0.7983, FPR=0.0109, Score=0.7895
  Client 1: DR=0.7971, FPR=0.0109, Score=0.7884
  Client 2: DR=0.7983, FPR=0.0109, Score=0.7896
Round 20: α = [0.3333287812366223, 0.3333287812366223, 0.33334243752675535]
  Client 0: DR=0.7983, FPR=0.0109, Score=0.7896
  Client 1: DR=0.7983, FPR=0.0109, Score=0.7896
  Client 2: DR=0.7984, FPR=0.0109, Score=0.7896
