Final results using Attention-Weighted FedXgbBagging:
Total rounds: 20
Number of participating clients: 8
XGBoost params: {'objective': 'binary:logistic', 'eval_metric': 'logloss', 'seed': 79397, 'n_jobs': -1, 'max_depth': 3, 'learning_rate': 0.017462960628932028, 'n_estimators': 850, 'min_child_weight': 2, 'gamma': 0.6008466563824473, 'subsample': 0.8874331341725578, 'colsample_bytree': 0.7409548092577293, 'max_delta_step': 2}
Optimal Threshold: 0.4800
Accuracy: 0.9538731212
Detection Rate: 0.8512741070
False Positive Rate: 0.0077987429

--- Per-Round Attention Weights ---
Round 1: α = [0.2754381980073579, 0.2754381980073579, 0.449123603985284]
Round 13: α = [0.34338476456432043, 0.34338476456432043, 0.31323047087135925]
  Client 0: DR=0.6359, FPR=0.0061, Score=0.6321
  Client 1: DR=0.6359, FPR=0.0061, Score=0.6321
  Client 2: DR=0.5425, FPR=0.0042, Score=0.5402
Round 14: α = [0.32315476007399246, 0.32315476007399246, 0.35369047985201496]
  Client 0: DR=0.5425, FPR=0.0042, Score=0.5402
  Client 1: DR=0.5425, FPR=0.0042, Score=0.5402
  Client 2: DR=0.6332, FPR=0.0044, Score=0.6305
Round 15: α = [0.3331531185968201, 0.3331531185968201, 0.3336937628063597]
  Client 0: DR=0.6332, FPR=0.0044, Score=0.6305
  Client 1: DR=0.6332, FPR=0.0044, Score=0.6305
  Client 2: DR=0.6359, FPR=0.0061, Score=0.6321
Round 16: α = [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
  Client 0: DR=0.6359, FPR=0.0061, Score=0.6321
  Client 1: DR=0.6359, FPR=0.0061, Score=0.6321
  Client 2: DR=0.6359, FPR=0.0061, Score=0.6321
Round 17: α = [0.3284604501103635, 0.3284604501103635, 0.3430790997792729]
  Client 0: DR=0.6359, FPR=0.0061, Score=0.6321
  Client 1: DR=0.6359, FPR=0.0061, Score=0.6321
  Client 2: DR=0.6798, FPR=0.0061, Score=0.6756
Round 18: α = [0.32081624919350393, 0.32081624919350393, 0.358367501612992]
  Client 0: DR=0.6798, FPR=0.0061, Score=0.6756
  Client 1: DR=0.6798, FPR=0.0061, Score=0.6756
  Client 2: DR=0.7912, FPR=0.0061, Score=0.7863
Round 19: α = [0.3456342181164636, 0.34542706595392664, 0.30893871592960986]
  Client 0: DR=0.7912, FPR=0.0061, Score=0.7863
  Client 1: DR=0.7905, FPR=0.0061, Score=0.7857
  Client 2: DR=0.6771, FPR=0.0044, Score=0.6741
Round 20: α = [0.33318221367098966, 0.3336355726580208, 0.33318221367098966]
  Client 0: DR=0.7884, FPR=0.0044, Score=0.7850
  Client 1: DR=0.7912, FPR=0.0061, Score=0.7863
  Client 2: DR=0.7884, FPR=0.0044, Score=0.7850
